Column,centro_nro_registro,centro_tipo,alergologia,same_as_alergologia,cardiologia,same_as_cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,same_as_dermatologia,endocrinologia,same_as_endocrinologia,enfermeria,same_as_enfermeria,farmacia,same_as_farmacia,fisioterapia,same_as_fisioterapia,medicina_general,same_as_medicina_general,neumologia,same_as_neumologia,neurologia,same_as_neurologia,nutricion_y_dietetica,same_as_nutricion_y_dietetica,oncologia,same_as_oncologia,otorrinolaringologia,same_as_otorrinolaringologia,pediatria,same_as_pediatria,psicologia_clinica,same_as_psicologia_clinica,psiquiatria,same_as_psiquiatria,rehabilitacion,same_as_rehabilitacion,urgencias,same_as_urgencias,vacunacion,same_as_vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,same_as_municipio,localizacion_coordenada_x,localizacion_coordenada_y
1649,CS13894,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,Calle de Gaztambide 21 28015 Madrid,Calle,de Gaztambide,21,28015,Madrid,https://www.wikidata.org/wiki/Q2807,439287,4476028
1650,CS13898,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle del Jaral 8 28229 Villanueva del Pardillo,Calle,del Jaral,8,28229,Villanueva del Pardillo,https://www.wikidata.org/wiki/Q1751916,418593,4482632
1651,CS13899,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Castelló 46 28001 Madrid,Calle,de Castelló,46,28001,Madrid,https://www.wikidata.org/wiki/Q2807,442212,4475361
1652,CS13904,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Avda del Camino de Santiago 1 28050 Madrid,Avda,del Camino de Santiago,1,28050,Madrid,https://www.wikidata.org/wiki/Q2807,442869,4483017
1653,CS13905,Centro Polivalente,,,,,,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,Plaza de la Constitución 17 28341 Valdemoro,Plaza,de la Constitución,17,28341,Valdemoro,https://www.wikidata.org/wiki/Q840373,442309,4449115
1654,CS13909,Otros centros especializados,,,,,,cirugiamenorambulatoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Serrano 108 28006 Madrid,Calle,de Serrano,108,28006,Madrid,https://www.wikidata.org/wiki/Q2807,441792,4476255
1655,CS13912,Centro de reconocimiento,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,Calle del Marqués de la Valdavia 107 28100 Alcobendas,Calle,del Marqués de la Valdavia,107,28100,Alcobendas,https://www.wikidata.org/wiki/Q487679,444643,4488610
1656,CS13914,Consulta médica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pediatrics,https://www.wikidata.org/wiki/Q123028,,,,,,,,,,,Calle Getafe 4 28912 Leganés,Calle,Getafe,4,28912,Leganés,https://www.wikidata.org/wiki/Q77433,435145,4464337
1657,CS13916,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Valencia 30 28012 Madrid,Calle,de Valencia,30,28012,Madrid,https://www.wikidata.org/wiki/Q2807,440619,4473100
1658,CS13917,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,,,,,,,,,Calle de la Corredera Baja de San Pablo 53 28004 Madrid,Calle,de la Corredera Baja de San Pablo,53,28004,Madrid,https://www.wikidata.org/wiki/Q2807,440405,4475026
1659,CS13918,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Pedro Salinas 6 28043 Madrid,Calle,de Pedro Salinas,6,28043,Madrid,https://www.wikidata.org/wiki/Q2807,443938,4478750
1661,CS13921,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de los Hermanos García Noblejas 77 28037 Madrid,Calle,de los Hermanos García Noblejas,77,28037,Madrid,https://www.wikidata.org/wiki/Q2807,446629,4475300
1662,CS13923,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Sabadell 83 28034 Madrid,Calle,de Sabadell,83,28034,Madrid,https://www.wikidata.org/wiki/Q2807,440905,4482495
1664,CS13926,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de la Divina Pastora 6 28034 Madrid,Calle,de la Divina Pastora,6,28034,Madrid,https://www.wikidata.org/wiki/Q2807,441447,4482887
1665,CS1393,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Avda de Donostiarra 3 28027 Madrid,Avda,de Donostiarra,3,28027,Madrid,https://www.wikidata.org/wiki/Q2807,444100,4476275
1666,CS13934,Otros centros especializados,,,,,,,,,,,,,pharmacy,https://www.wikidata.org/wiki/Q614304,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Calella 1 28038 Madrid,Calle,de Calella,1,28038,Madrid,https://www.wikidata.org/wiki/Q2807,444757,4471690
1667,CS13937,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Leonor López Córdoba 1 28035 Madrid,Calle,de Leonor López Córdoba,1,28035,Madrid,https://www.wikidata.org/wiki/Q2807,438944,4483091
1668,CS13938,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,,,,,,,,,Calle de García Luna 1 28002 Madrid,Calle,de García Luna,1,28002,Madrid,https://www.wikidata.org/wiki/Q2807,442620,4477474
1669,CS13939,Consulta médica,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,Avda del Alcalde de Móstoles 29 28933 Móstoles,Avda,del Alcalde de Móstoles,29,28933,Móstoles,https://www.wikidata.org/wiki/Q187826,426203,4465287
1670,CS13941,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Avda de la Peseta 37 28054 Madrid,Avda,de la Peseta,37,28054,Madrid,https://www.wikidata.org/wiki/Q2807,435301,4468408
1671,CS13946,Centro Polivalente,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle Ronda Saliente 16 28850 Torrejón de Ardoz,Calle,Ronda Saliente,16,28850,Torrejón de Ardoz,https://www.wikidata.org/wiki/Q489839,459538,4478909
1672,CS13947,Clínica dental,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle Marie Curie 11 28521 Rivas-Vaciamadrid,Calle,Marie Curie,11,28521,Rivas-Vaciamadrid,https://www.wikidata.org/wiki/Q644481,455478,4465354
1673,CS13950,Centro de reconocimiento,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,Calle de Alejandro Humbolt 19 28051 Madrid,Calle,de Alejandro Humbolt,19,28051,Madrid,https://www.wikidata.org/wiki/Q2807,449574,4468161
1674,CS13951,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle Agapito Martínez 12 28250 Torrelodones,Calle,Agapito Martínez,12,28250,Torrelodones,https://www.wikidata.org/wiki/Q542958,418953,4492339
1675,CS13952,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Santísima Trinidad 22 28010 Madrid,Calle,de Santísima Trinidad,22,28010,Madrid,https://www.wikidata.org/wiki/Q2807,440547,4476526
1676,CS13954,Centro de cirugía mayor ambulatoria,,,,,cirugiamayoriaambulatoria,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle del Valle de Pinares Llanos 3 28035 Madrid,Calle,del Valle de Pinares Llanos,3,28035,Madrid,https://www.wikidata.org/wiki/Q2807,439111,4481893
1677,CS1396,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle Vía Carpetana 137 28047 Madrid,Calle,Vía Carpetana,137,28047,Madrid,https://www.wikidata.org/wiki/Q2807,437185,4471678
1679,CS13971,Centro de reconocimiento,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,Calle de Aguileñas 15 28029 Madrid,Calle,de Aguileñas,15,28029,Madrid,https://www.wikidata.org/wiki/Q2807,441125,4479801
1681,CS13977,Otros centros especializados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,,,,,,,Plaza del Marqués de Salamanca 10 28006 Madrid,Plaza,del Marqués de Salamanca,10,28006,Madrid,https://www.wikidata.org/wiki/Q2807,442399,4475673
1682,CS13980,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Avda de Palomeras 122 28018 Madrid,Avda,de Palomeras,122,28018,Madrid,https://www.wikidata.org/wiki/Q2807,444725,4470852
1683,CS13982,Otros centros especializados,,,,,,cirugiamenorambulatoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paseo de la Castellana 239 28046 Madrid,Paseo,de la Castellana,239,28046,Madrid,https://www.wikidata.org/wiki/Q2807,441642,4480481
1684,CS13983,Consultorio de atención primaria,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,"Calle Herrería 1 28191 Hiruela, La",Calle,Herrería,1,28191,La Hiruela,https://www.wikidata.org/wiki/Q1751945,461731,4547516
1685,CS13988,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Plaza de los Irlandeses 11 28801 Alcalá de Henares,Plaza,de los Irlandeses,11,28801,Alcalá de Henares,https://www.wikidata.org/wiki/Q46940,468950,4481281
1686,CS13989,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,,,,,,,Calle de Fernández de la Hoz 62 28010 Madrid,Calle,de Fernández de la Hoz,62,28010,Madrid,https://www.wikidata.org/wiki/Q2807,441099,4476536
1687,CS13990,Centro de salud,,,,,,cirugiamenorambulatoria,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,vaccination,https://www.wikidata.org/wiki/Q192995,Calle San Isidro 5 28978 Cubas de la Sagra,Calle,San Isidro,5,28978,Cubas de la Sagra,https://www.wikidata.org/wiki/Q1751926,428573,4448847
1688,CS13991,Centro de salud,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,pediatrics,https://www.wikidata.org/wiki/Q123028,,,,,,,,,vaccination,https://www.wikidata.org/wiki/Q192995,Calle de la Sierra de Alquife 8 28053 Madrid,Calle,de la Sierra de Alquife,8,28053,Madrid,https://www.wikidata.org/wiki/Q2807,443382,4471138
1689,CS14000,Centro de reproducción humana asistida,,,,,cirugiamayoriaambulatoria,cirugiamenorambulatoria,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Alfonso XII 62 28014 Madrid,Calle,de Alfonso XII,62,28014,Madrid,https://www.wikidata.org/wiki/Q2807,441547,4473318
1690,CS14002,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Casimiro Escudero 13 28025 Madrid,Calle,de Casimiro Escudero,13,28025,Madrid,https://www.wikidata.org/wiki/Q2807,436887,4471288
1692,CS14007,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Plaza de las Olivas 5 28027 Madrid,Plaza,de las Olivas,5,28027,Madrid,https://www.wikidata.org/wiki/Q2807,447123,4477362
1694,CS14010,Centro de salud mental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,,,,,,,Calle de Corazón de María 80 28002 Madrid,Calle,de Corazón de María,80,28002,Madrid,https://www.wikidata.org/wiki/Q2807,443547,4477742
1695,CS14012,Centro Polivalente,,,,,,,,,,,,,,,,,,,,,,,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,,,,,,,,,,,,,,,,,Calle de Orense 37 28020 Madrid,Calle,de Orense,37,28020,Madrid,https://www.wikidata.org/wiki/Q2807,441059,4478330
1696,CS14019,Consulta médica,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,otolaryngology,https://www.wikidata.org/wiki/Q189553,,,,,,,,,,,,,Calle de Fernán González 37 28009 Madrid,Calle,de Fernán González,37,28009,Madrid,https://www.wikidata.org/wiki/Q2807,442797,4474706
1697,CS14024,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,,,,,,,,,"Custa de San Francisco 9 28231 Rozas de Madrid, Las",Custa,de San Francisco,9,28231,Las Rozas de Madrid,https://www.wikidata.org/wiki/Q592747,426134,4482763
1698,CS14025,Consulta médica,,,,,,,dermatology,https://www.wikidata.org/wiki/Q171171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle Puerto de los Leones 2 28220 Majadahonda,Calle,Puerto de los Leones,2,28220,Majadahonda,https://www.wikidata.org/wiki/Q427505,425811,4480862
1699,CS14028,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle del Padre Damián 18 28036 Madrid,Calle,del Padre Damián,18,28036,Madrid,https://www.wikidata.org/wiki/Q2807,441758,4478430
1700,CS14030,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle Santa Juana 13 28978 Cubas de la Sagra,Calle,Santa Juana,13,28978,Cubas de la Sagra,https://www.wikidata.org/wiki/Q1751926,428654,4449051
1701,CS14031,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de San Juan de la Salle 3 28036 Madrid,Calle,de San Juan de la Salle,3,28036,Madrid,https://www.wikidata.org/wiki/Q2807,441535,4478106
1702,CS14032,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle del Príncipe de Vergara 266 28016 Madrid,Calle,del Príncipe de Vergara,266,28016,Madrid,https://www.wikidata.org/wiki/Q2807,442631,4478772
1703,CS14037,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,Calle de Jesús de San Antonio 22 28823 Coslada,Calle,de Jesús de San Antonio,22,28823,Coslada,https://www.wikidata.org/wiki/Q164197,454374,4475104
1704,CS14041,Consultorio de atención primaria,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,pediatrics,https://www.wikidata.org/wiki/Q123028,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,,,,,,,vaccination,https://www.wikidata.org/wiki/Q192995,Avda de Madrid 28 28750 San Agustín del Guadalix,Avda,de Madrid,28,28750,San Agustín del Guadalix,https://www.wikidata.org/wiki/Q985045,448221,4503650
1705,CS14043,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,,,,,,,,,Calle de Lope de Rueda 30 28009 Madrid,Calle,de Lope de Rueda,30,28009,Madrid,https://www.wikidata.org/wiki/Q2807,442507,4474685
1706,CS14045,Otros centros especializados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychiatry,https://www.wikidata.org/wiki/Q7867,,,,,,,Calle de la Azalea 1 28109 Alcobendas,Calle,de la Azalea,1,28109,Alcobendas,https://www.wikidata.org/wiki/Q487679,444883,4485501
1707,CS14046,Centro de diálisis,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avda de Asturias 69 28029 Madrid,Avda,de Asturias,69,28029,Madrid,https://www.wikidata.org/wiki/Q2807,440693,4480363
1708,CS14047,Centro Polivalente,allergology,https://www.wikidata.org/wiki/Q1046686,,,,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,,,nursing,https://www.wikidata.org/wiki/Q121176,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,neurology,https://www.wikidata.org/wiki/Q83042,,,,,otolaryngology,https://www.wikidata.org/wiki/Q189553,,,,,,,,,,,,,Avda del Doctor Arce 27 28002 Madrid,Avda,del Doctor Arce,27,28002,Madrid,https://www.wikidata.org/wiki/Q2807,442190,4477592
1709,CS14048,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Avda de Vicálvaro 45 28822 Coslada,Avda,de Vicálvaro,45,28822,Coslada,https://www.wikidata.org/wiki/Q164197,454399,4474688
1710,CS1405,Centro Polivalente,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,,,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,pulmonology,https://www.wikidata.org/wiki/Q203337,,,,,,,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,,,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,,,,,Avda de Monforte de Lemos 113 28029 Madrid,Avda,de Monforte de Lemos,113,28029,Madrid,https://www.wikidata.org/wiki/Q2807,440003,4481095
1711,CS14050,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,,,,,,,Calle de Quintana 28 28008 Madrid,Calle,de Quintana,28,28008,Madrid,https://www.wikidata.org/wiki/Q2807,439003,4475429
1712,CS14054,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,,,,,,,,,Calle de Francisco Navacerrada 50 28028 Madrid,Calle,de Francisco Navacerrada,50,28028,Madrid,https://www.wikidata.org/wiki/Q2807,443457,4475839
1713,CS14062,Clínica dental,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle Marie Curie 11 28521 Rivas-Vaciamadrid,Calle,Marie Curie,11,28521,Rivas-Vaciamadrid,https://www.wikidata.org/wiki/Q644481,455477,4465337
1714,CS14066,Centro Polivalente,,,,,,,,,endocrinology,https://www.wikidata.org/wiki/Q162606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Diego de León 39 28006 Madrid,Calle,de Diego de León,39,28006,Madrid,https://www.wikidata.org/wiki/Q2807,442329,4476258
1715,CS14067,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle Isabel II 6.0 28980 Parla,Calle,Isabel II,6,28980,Parla,https://www.wikidata.org/wiki/Q824651,434856,4454061
1716,CS14068,Centro móvil de asistencia sanitaria,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,"Calle de Francisco Mora 15 28280 Escorial, El",Calle,de Francisco Mora,15,28280,El Escorial,https://www.wikidata.org/wiki/Q985269,404918,4493106
1717,CS14069,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Avda Carmen Laforet 14 28850 Torrejón de Ardoz,Avda,Carmen Laforet,14,28850,Torrejón de Ardoz,https://www.wikidata.org/wiki/Q489839,462501,4479120
1718,CS14072,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,,,,,,,,,Calle de Lope de Rueda 49 28009 Madrid,Calle,de Lope de Rueda,49,28009,Madrid,https://www.wikidata.org/wiki/Q2807,442507,4474435
1719,CS14075,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,,,,,,,,,Calle de Hilarión Eslava 55 28015 Madrid,Calle,de Hilarión Eslava,55,28015,Madrid,https://www.wikidata.org/wiki/Q2807,439231,4476703
1720,CS14080,Consulta médica,,,,,,cirugiamenorambulatoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Núñez de Balboa 107 28006 Madrid,Calle,de Núñez de Balboa,107,28006,Madrid,https://www.wikidata.org/wiki/Q2807,442154,4476368
1721,CS14081,Centro de reconocimiento,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,Calle de Leganés 52 28945 Fuenlabrada,Calle,de Leganés,52,28945,Fuenlabrada,https://www.wikidata.org/wiki/Q54902,432807,4460382
1722,CS14082,Consulta médica,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,Calle de Leganés 52 28945 Fuenlabrada,Calle,de Leganés,52,28945,Fuenlabrada,https://www.wikidata.org/wiki/Q54902,432807,4460382
1723,CS14083,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle El Algabeño 117 28043 Madrid,Calle,El Algabeño,117,28043,Madrid,https://www.wikidata.org/wiki/Q2807,446924,4478699
1725,CS14085,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avda Víctimas del Terrorismo 5 28806 Alcalá de Henares,Avda,Víctimas del Terrorismo,5,28806,Alcalá de Henares,https://www.wikidata.org/wiki/Q46940,469440,4484561
1726,CS14086,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Joaquín Costa 57 28002 Madrid,Calle,de Joaquín Costa,57,28002,Madrid,https://www.wikidata.org/wiki/Q2807,442247,4476958
1727,CS14087,Centro Polivalente,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,,,,,,,,,,,otolaryngology,https://www.wikidata.org/wiki/Q189553,,,,,,,,,,,,,Calle de San Germán 13 28020 Madrid,Calle,de San Germán,13,28020,Madrid,https://www.wikidata.org/wiki/Q2807,441120,4478615
1728,CS1409,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,,,,,,,,,,,Calle de Fernando Poo 16 28045 Madrid,Calle,de Fernando Poo,16,28045,Madrid,https://www.wikidata.org/wiki/Q2807,440619,4472223
1729,CS14093,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle de Serrano Galvache 56 28033 Madrid,Calle,de Serrano Galvache,56,28033,Madrid,https://www.wikidata.org/wiki/Q2807,443056,4480869
1730,CS14096,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,,,,,,,Calle Mayor 23 28140 Fuente el Saz de Jarama,Calle,Mayor,23,28140,Fuente el Saz de Jarama,https://www.wikidata.org/wiki/Q770809,456521,4498350
1731,CS14098,Centro de reproducción humana asistida,,,,,,cirugiamenorambulatoria,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle Arboleda 34 28901 Getafe,Calle,Arboleda,34,28901,Getafe,https://www.wikidata.org/wiki/Q8802,438345,4461820
